OID_,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT95
75,070802050701,75,68484.000000000000000,61635600.000000000000000,11,95,84,58.127372817008265,29.044648587516328,3980795.000000000000000,14,82,42,82,82
76,102300050204,76,132917.000000000000000,119625300.000000000000000,11,95,84,79.512530376098567,11.990317867707205,10568567.000000000000000,14,82,43,82,82
77,102300020101,77,129113.000000000000000,116201700.000000000000000,11,95,84,79.289320207880394,12.376790464841061,10237282.000000000000000,13,82,90,82,82
78,070600040405,78,69528.000000000000000,62575200.000000000000000,11,95,84,70.227332873087647,19.730253166391485,4882766.000000000000000,15,82,52,82,82
79,102300031209,79,100938.000000000000000,90844200.000000000000000,11,95,84,78.588192751985900,13.207404318066395,7932535.000000000000000,14,82,31,82,82
80,070802040102,80,117795.000000000000000,106015500.000000000000000,11,95,84,77.281607878092501,16.555287034268751,9103387.000000000000000,14,82,52,82,82
81,102300031109,81,131239.000000000000000,118115100.000000000000000,11,95,84,73.605224056873510,18.675536775007529,9659876.000000000000000,15,82,31,82,82
82,102300030902,82,158914.000000000000000,143022600.000000000000000,11,95,84,78.844009967655410,12.935192504330301,12529417.000000000000000,14,82,90,82,82
83,070600040403,83,89681.000000000000000,80712900.000000000000000,11,82,71,76.804986563484817,15.394142069710410,6887948.000000000000000,13,82,42,82,82
84,102300031403,84,135863.000000000000000,122276700.000000000000000,11,95,84,71.167595298204603,21.716551737827260,9669043.000000000000000,15,82,52,82,82
85,101702032401,85,47533.000000000000000,42779700.000000000000000,11,95,84,78.616077251592600,12.873664397160450,3736858.000000000000000,13,82,11,82,82
86,102300020502,86,98155.000000000000000,88339500.000000000000000,11,95,84,71.876939534410056,21.825117180167318,7055081.000000000000000,13,82,31,82,82
87,070600061006,87,59279.000000000000000,53351100.000000000000000,11,95,84,69.989760286104698,20.237680291465590,4148923.000000000000000,15,82,24,81,82
88,070600040601,88,97976.000000000000000,88178400.000000000000000,11,95,84,72.258338776844170,18.730756213609300,7079583.000000000000000,15,82,42,82,82
89,071000060802,89,146760.000000000000000,132084000.000000000000000,11,95,84,77.285118560916189,15.931125501249223,11342364.000000000000000,15,82,52,82,82
90,070801010301,90,101863.000000000000000,91676700.000000000000000,11,95,84,68.465919912039212,24.589293902838978,6974144.000000000000000,14,82,42,82,82
91,070600060101,91,47001.000000000000000,42300900.000000000000000,11,95,84,76.268887896002539,16.443241782264305,3584714.000000000000000,14,82,11,82,82
92,070600050101,92,51152.000000000000000,46036800.000000000000000,11,95,84,58.427764310291067,25.035666257269661,2988697.000000000000000,15,82,95,71,82
93,070600060205,93,79568.000000000000000,71611200.000000000000000,11,95,84,76.843442087271953,15.994692635858867,6114279.000000000000000,15,82,11,82,82
94,070802051005,94,130838.000000000000000,117754200.000000000000000,11,95,84,76.460760635287798,18.526982673967620,10003973.000000000000000,15,82,42,82,90
95,102300010611,95,87943.000000000000000,79148700.000000000000000,11,95,84,77.529069965773530,19.389841380719488,6818139.000000000000000,12,82,24,82,95
96,070802050602,96,93679.000000000000000,84311100.000000000000000,11,95,84,62.243512420072726,28.671744770067967,5830910.000000000000000,15,82,52,82,90
97,071000061202,97,156210.000000000000000,140589000.000000000000000,11,95,84,79.230324563087123,12.587438537691934,12376569.000000000000000,15,82,52,82,82
98,102300010301,98,152998.000000000000000,137698200.000000000000000,11,95,84,76.500784323977754,14.518863321941291,11704467.000000000000000,14,82,90,82,82
99,070600040606,99,108089.000000000000000,97280100.000000000000000,11,95,84,64.862159886761418,21.308421864237108,7010886.000000000000000,15,41,24,81,82
100,070600040104,100,110916.000000000000000,99824400.000000000000000,11,95,84,77.779400627500863,14.575029435827389,8626980.000000000000000,14,82,52,82,82
101,071000081402,101,125156.000000000000000,112640400.000000000000000,11,95,84,69.598269359839364,19.964785384449993,8710641.000000000000000,15,81,31,81,82
102,070600040402,102,101598.000000000000000,91438200.000000000000000,11,95,84,77.382763440224863,14.866518663962056,7861934.000000000000000,14,82,52,82,82
103,101702032002,103,94997.000000000000000,85497300.000000000000000,11,95,84,78.997368337947321,12.992613191258050,7504513.000000000000000,12,82,43,82,82
104,070600061005,104,97370.000000000000000,87633000.000000000000000,11,95,84,66.925192564444785,21.215570033781081,6516506.000000000000000,15,82,24,81,82
105,070801050202,105,72054.000000000000000,64848600.000000000000000,11,95,84,76.967815804813569,16.708520337129254,5545839.000000000000000,14,82,31,82,82
106,070600060401,106,150821.000000000000000,135738900.000000000000000,11,95,84,76.567911630343630,15.690511339275073,11548049.000000000000000,15,82,42,82,82
107,070801020803,107,175843.000000000000000,158258700.000000000000000,11,95,84,72.196049885408740,21.925619669059682,12695170.000000000000000,14,82,42,82,82
108,070600030603,108,153281.000000000000000,137952900.000000000000000,11,95,84,66.156627370646035,21.335275368574870,10140554.000000000000000,15,82,11,81,82
109,070802051204,109,69446.000000000000000,62501400.000000000000000,11,95,84,72.818708060939244,19.631290711895097,5056968.000000000000000,15,82,31,82,82
110,071000061402,110,50386.000000000000000,45347400.000000000000000,11,95,84,76.567359980947444,17.434534786441478,3857923.000000000000000,14,82,24,82,90
111,070600061001,111,62767.000000000000000,56490300.000000000000000,11,95,84,65.191820542641068,23.306890690143671,4091895.000000000000000,15,82,52,81,82
112,071000061204,112,61944.000000000000000,55749600.000000000000000,11,95,84,77.748288776959868,15.131647809909808,4816040.000000000000000,13,82,52,82,82
113,070802051507,113,162464.000000000000000,146217600.000000000000000,11,95,84,46.767850108331110,29.584162317070255,7598092.000000000000000,15,82,31,24,90
114,102802010107,114,46367.000000000000000,41730300.000000000000000,11,95,84,72.729333362089662,18.428497801278606,3372241.000000000000000,15,82,24,81,82
115,102300070604,115,130262.000000000000000,117235800.000000000000000,11,95,84,73.809706591332528,18.479456897873700,9614600.000000000000000,15,82,42,82,82
116,070801050804,116,53510.000000000000000,48159000.000000000000000,11,95,84,75.262119230050132,18.137008174295865,4027276.000000000000000,15,82,31,82,82
117,070801060105,117,100360.000000000000000,90324000.000000000000000,11,95,84,75.776763650854932,16.719195934095520,7604956.000000000000000,15,82,31,82,82
118,070600010903,118,137143.000000000000000,123428700.000000000000000,11,95,84,73.927885491787904,17.760173026349822,10138692.000000000000000,15,82,42,82,82
119,071000060805,119,75625.000000000000000,68062500.000000000000000,11,95,84,78.048952066114325,16.052167343461583,5902452.000000000000000,14,82,52,82,90
120,070600040308,120,80987.000000000000000,72888300.000000000000000,11,95,84,72.448318865991681,18.797637756772296,5867372.000000000000000,15,82,42,82,82
121,071000030404,121,123706.000000000000000,111335400.000000000000000,11,95,84,78.913674356943432,14.079184710070667,9762095.000000000000000,14,82,42,82,82
122,102300020303,122,128802.000000000000000,115921800.000000000000000,11,95,84,76.322494992313167,17.623444610328100,9830490.000000000000000,13,82,41,82,82
123,070600010902,123,67493.000000000000000,60743700.000000000000000,11,95,84,74.372660868534908,17.264852482880116,5019634.000000000000000,15,82,52,82,82
124,101702032507,124,56651.000000000000000,50985900.000000000000000,11,95,84,54.898766129458991,21.448999163654584,3110070.000000000000000,15,71,31,71,82
125,070802051105,125,64043.000000000000000,57638700.000000000000000,11,95,84,72.852255515825604,24.300500870918345,4665677.000000000000000,15,82,42,82,90
126,070802050203,126,63418.000000000000000,57076200.000000000000000,11,95,84,77.476851997855874,15.534536026572946,4913427.000000000000000,15,82,52,82,82
127,070802011003,127,88728.000000000000000,79855200.000000000000000,11,95,84,74.586173473987841,19.504014483812885,6617882.000000000000000,15,82,52,82,82
128,070802030402,128,90039.000000000000000,81035100.000000000000000,11,95,84,76.464476504625679,16.559875596147549,6884785.000000000000000,15,82,52,82,82
129,071000050201,129,117364.000000000000000,105627600.000000000000000,11,95,84,78.592387785010587,13.921928446668916,9223917.000000000000000,14,82,42,82,82
130,070600040702,130,77504.000000000000000,69753600.000000000000000,11,95,84,74.413256090007508,17.504763279394929,5767325.000000000000000,15,82,42,82,82
131,070802050601,131,90437.000000000000000,81393300.000000000000000,11,95,84,77.922686511052106,15.966742523580209,7047094.000000000000000,14,82,42,82,90
132,070802050501,132,63333.000000000000000,56999700.000000000000000,11,95,84,78.917073247754075,13.190375955718920,4998055.000000000000000,14,82,42,82,82
133,102300050306,133,104427.000000000000000,93984300.000000000000000,11,95,84,77.786884617962755,15.031991165426982,8123051.000000000000000,15,82,43,82,82
134,102300030802,134,53502.000000000000000,48151800.000000000000000,11,95,84,78.831445553437163,13.554099665191067,4217640.000000000000000,13,82,41,82,82
135,070802030305,135,71925.000000000000000,64732500.000000000000000,11,95,84,76.017796315605779,18.413200906281887,5467580.000000000000000,14,82,42,82,82
136,071000081503,136,141464.000000000000000,127317600.000000000000000,11,95,84,50.918834473787705,30.877432039841533,7203182.000000000000000,15,82,52,41,95
137,071000081501,137,49709.000000000000000,44738100.000000000000000,11,95,84,68.424953227785238,23.940254720733201,3401336.000000000000000,15,82,52,82,90
138,071000081504,138,117293.000000000000000,105563700.000000000000000,11,95,84,74.347531395736567,18.332029796546625,8720445.000000000000000,15,82,52,82,82
139,102300020504,139,118326.000000000000000,106493400.000000000000000,11,95,84,61.877144499094214,24.846289636405622,7321675.000000000000000,15,82,42,71,82
140,070801010603,140,57355.000000000000000,51619500.000000000000000,11,95,84,55.443501002527910,26.630094825152810,3179962.000000000000000,15,82,42,43,82
141,070802051104,141,128155.000000000000000,115339500.000000000000000,11,95,84,77.925238968436588,14.839209406455664,9986509.000000000000000,14,82,31,82,82
142,070801050901,142,56267.000000000000000,50640300.000000000000000,11,95,84,76.138624771180091,16.717738028697106,4284092.000000000000000,14,82,42,82,82
143,070802040101,143,150451.000000000000000,135405900.000000000000000,11,95,84,78.637204139554768,13.813517469274059,11831046.000000000000000,13,82,43,82,82
144,070600040307,144,57913.000000000000000,52121700.000000000000000,11,95,84,77.284426639959904,15.310012172292248,4475773.000000000000000,14,82,11,82,82
145,070600040401,145,80930.000000000000000,72837000.000000000000000,11,95,84,77.527146917089738,15.139313051835945,6274272.000000000000000,13,82,90,82,82
146,102802010207,146,112778.000000000000000,101500200.000000000000000,11,95,84,73.071849119509437,19.377241648279917,8240897.000000000000000,15,82,24,81,90
147,070801070710,147,71206.000000000000000,64085400.000000000000000,11,95,84,66.279920231441153,21.276588940560487,4719528.000000000000000,15,82,24,81,82
148,102400130201,148,148361.000000000000000,133524900.000000000000000,11,95,84,76.742668221432453,15.551946742488408,11385619.000000000000000,15,82,31,82,82
149,102300010606,149,117641.000000000000000,105876900.000000000000000,11,95,84,68.731445669453350,20.652533353881626,8085636.000000000000000,15,82,24,82,82
150,102300020408,150,172275.000000000000000,155047500.000000000000000,11,95,84,78.414755478159307,13.977507667721598,13508902.000000000000000,14,82,52,82,82
151,071000081404,151,110288.000000000000000,99259200.000000000000000,11,95,84,72.478547076745045,20.536482409863563,7993514.000000000000000,15,82,52,82,82
152,070802060403,152,91356.000000000000000,82220400.000000000000000,11,95,84,66.053909978545519,24.378435301903977,6034421.000000000000000,15,82,52,81,82
153,070802030401,153,109508.000000000000000,98557200.000000000000000,11,95,84,71.606211418343378,22.317863303975120,7841453.000000000000000,15,82,52,82,82
154,102300020305,154,137885.000000000000000,124096500.000000000000000,11,95,84,78.584342024150857,13.900746495187709,10835602.000000000000000,13,82,52,82,82
155,070802010902,155,111055.000000000000000,99949500.000000000000000,11,95,84,76.448696591779651,16.002444392776066,8490010.000000000000000,15,82,52,82,82
156,101702040805,156,95065.000000000000000,85558500.000000000000000,11,95,84,77.161373796875210,15.993736402372594,7335346.000000000000000,14,82,52,82,82
157,071000030806,157,100993.000000000000000,90893700.000000000000000,11,95,84,79.390175556722227,14.457486759889745,8017852.000000000000000,15,82,42,82,90
158,070802020504,158,97022.000000000000000,87319800.000000000000000,11,95,84,78.800694687802675,13.115276684105844,7645401.000000000000000,15,82,52,82,82
159,070802060805,159,103771.000000000000000,93393900.000000000000000,11,95,84,77.082296595387803,17.983293401256830,7998907.000000000000000,15,82,31,82,90
160,070802090605,160,69425.000000000000000,62482500.000000000000000,11,95,84,72.678271516025234,20.916674329333159,5045689.000000000000000,15,82,42,82,90
161,070802060101,161,90700.000000000000000,81630000.000000000000000,11,95,84,64.345622932745769,26.797778671025569,5836148.000000000000000,14,82,42,82,82
162,102400090702,162,117592.000000000000000,105832800.000000000000000,11,95,84,75.015519763249230,17.290798752959581,8821225.000000000000000,15,82,24,82,82
163,102400030704,163,78097.000000000000000,70287300.000000000000000,11,95,84,76.754536025711147,16.610668015286638,5994299.000000000000000,15,82,52,82,82
164,102400020803,164,89654.000000000000000,80688600.000000000000000,11,95,84,78.390835880161220,13.848892084729142,7028052.000000000000000,13,82,43,82,82
165,102802010209,165,144595.000000000000000,130135500.000000000000000,11,95,84,51.827905529236432,30.799734681128204,7494056.000000000000000,15,82,24,43,82
166,071000040704,166,136507.000000000000000,122856300.000000000000000,11,95,84,63.960514845392424,22.645873460860397,8731058.000000000000000,15,82,31,82,82
167,102801020502,167,103118.000000000000000,92806200.000000000000000,11,95,84,71.069493201963070,19.569374399716160,7328544.000000000000000,15,81,24,81,82
168,070801050304,168,117731.000000000000000,105957900.000000000000000,11,95,84,78.657430923035420,13.365615802495970,9260418.000000000000000,14,82,42,82,82
169,070801050904,169,141247.000000000000000,127122300.000000000000000,11,95,84,75.852046415146916,17.035071506086311,10713874.000000000000000,14,82,52,82,82
170,070802050907,170,93424.000000000000000,84081600.000000000000000,11,95,84,77.587482873779422,17.794454414835357,7248533.000000000000000,15,82,52,82,90
